epoch,train_loss,train_err,test_err
0,1.0444552898406982,0.49554,0.49
1,0.9454712867736816,0.4075,0.4235
2,0.9393016695976257,0.26024,0.2688
3,0.8961176872253418,0.26972,0.266
4,0.7231568098068237,0.30856,0.3219
5,0.5626357793807983,0.24094,0.2503
6,0.6225268244743347,0.19738,0.2162
7,0.4258989691734314,0.18152,0.1893
8,0.4964948296546936,0.24456,0.2563
9,0.574173092842102,0.17858,0.2049
10,0.24527940154075623,0.18456,0.1968
11,0.4342010021209717,0.17316,0.1974
12,0.41892117261886597,0.15744,0.1857
13,0.46689504384994507,0.20148,0.2264
14,0.26135334372520447,0.15556,0.1808
15,0.34928032755851746,0.15416,0.1814
16,0.44462108612060547,0.16838,0.1937
17,0.48420214653015137,0.14054,0.1693
18,0.3501558005809784,0.1345,0.1599
19,0.33087342977523804,0.1431,0.1773
20,0.2617143988609314,0.15344,0.1832
21,0.3517020344734192,0.17866,0.2044
22,0.3420892357826233,0.18008,0.205
23,0.26472339034080505,0.13676,0.1746
24,0.21854741871356964,0.12452,0.1518
25,0.44785547256469727,0.12066,0.1577
26,0.27487319707870483,0.1201,0.1527
27,0.22875280678272247,0.11134,0.15
28,0.30761757493019104,0.12396,0.159
29,0.2678958773612976,0.11904,0.1511
30,0.24213869869709015,0.12898,0.1663
31,0.26560792326927185,0.10778,0.1411
32,0.33999839425086975,0.09888,0.1366
33,0.39801472425460815,0.12672,0.1687
34,0.29259952902793884,0.10912,0.1445
35,0.3454718291759491,0.1043,0.1429
36,0.3777416944503784,0.0932,0.1303
37,0.3097325563430786,0.0947,0.1379
38,0.4354937970638275,0.09376,0.1365
39,0.330833375453949,0.11664,0.1531
40,0.2627449631690979,0.11188,0.1513
41,0.26150596141815186,0.10418,0.1418
42,0.3732832372188568,0.13964,0.1702
43,0.22443847358226776,0.13104,0.1688
44,0.2993987500667572,0.13196,0.1706
45,0.288173645734787,0.09788,0.14
46,0.29124659299850464,0.10624,0.1517
47,0.25704145431518555,0.0865,0.1272
48,0.15887072682380676,0.13682,0.1784
49,0.19191105663776398,0.12248,0.1663
50,0.2555322051048279,0.08928,0.1307
51,0.2145671397447586,0.10296,0.1453
52,0.23448880016803741,0.09294,0.1298
53,0.37839895486831665,0.11228,0.1486
54,0.3966977596282959,0.0938,0.1314
55,0.2768233120441437,0.11448,0.1562
56,0.17145833373069763,0.14248,0.1826
57,0.3225637972354889,0.12544,0.167
58,0.1426612138748169,0.08326,0.1226
59,0.17634840309619904,0.10088,0.1378
60,0.23783919215202332,0.08926,0.1321
61,0.21455904841423035,0.08776,0.1336
62,0.1972242295742035,0.1357,0.1805
63,0.13448098301887512,0.1,0.14
64,0.12905661761760712,0.11714,0.1661
65,0.23319736123085022,0.09152,0.1384
66,0.16786697506904602,0.09284,0.1406
67,0.3567713499069214,0.13318,0.1769
