epoch,train_loss,train_err,test_err
0,1.5191829204559326,0.63288,0.644
1,1.2231494188308716,0.48834,0.492
2,1.284994125366211,0.39532,0.4043
3,0.8416988253593445,0.30554,0.3052
4,0.6948228478431702,0.28896,0.2993
5,0.6880248785018921,0.25926,0.2786
6,0.6202952861785889,0.22688,0.2479
7,0.5142459869384766,0.21,0.2215
8,0.40874719619750977,0.2536,0.276
9,0.44776201248168945,0.17944,0.2033
10,0.5200245976448059,0.1855,0.1993
11,0.3462565541267395,0.17276,0.2005
12,0.5507634282112122,0.14354,0.1664
13,0.6761792898178101,0.1467,0.1731
14,0.5172297358512878,0.15816,0.1898
15,0.4554709494113922,0.16946,0.1898
16,0.3601917028427124,0.14942,0.1773
17,0.32474789023399353,0.15,0.1795
18,0.2796674966812134,0.1225,0.1495
19,0.3599136173725128,0.10992,0.1436
20,0.2690281569957733,0.1258,0.161
21,0.45960330963134766,0.13102,0.1662
22,0.5645991563796997,0.14698,0.178
23,0.3435942530632019,0.1393,0.1786
24,0.2419409304857254,0.1239,0.1604
25,0.2621017396450043,0.14196,0.1839
26,0.37885555624961853,0.11134,0.1453
27,0.28052014112472534,0.12894,0.1642
28,0.30322301387786865,0.10104,0.151
29,0.41957855224609375,0.10468,0.1425
30,0.19842348992824554,0.1062,0.1497
31,0.31809961795806885,0.10418,0.1399
32,0.22666022181510925,0.10286,0.1405
33,0.16569600999355316,0.10374,0.1488
34,0.37690114974975586,0.11076,0.1506
35,0.20208171010017395,0.1028,0.1455
36,0.2081230878829956,0.10136,0.1437
37,0.25676611065864563,0.10678,0.1537
38,0.11881814897060394,0.0991,0.1427
39,0.2943357825279236,0.10806,0.1565
40,0.1965072751045227,0.09472,0.1379
41,0.2882537245750427,0.10024,0.1461
42,0.3060176968574524,0.08746,0.1326
43,0.2624526619911194,0.0934,0.1346
44,0.3385710120201111,0.1007,0.1461
45,0.09288240969181061,0.089,0.1387
46,0.32373523712158203,0.10194,0.1357
47,0.2119341790676117,0.09394,0.1451
48,0.15951162576675415,0.09984,0.1463
49,0.3443172872066498,0.08332,0.127
50,0.24256043136119843,0.0952,0.1465
51,0.31821051239967346,0.07666,0.1261
52,0.24857895076274872,0.09498,0.1482
53,0.23842206597328186,0.08978,0.1354
54,0.38636404275894165,0.09056,0.1359
55,0.26408106088638306,0.10914,0.1546
56,0.27941417694091797,0.08042,0.1271
57,0.44085049629211426,0.07848,0.1213
58,0.3634673058986664,0.1298,0.1744
59,0.2748061418533325,0.08498,0.1307
60,0.13498501479625702,0.08664,0.1342
61,0.3697235882282257,0.07556,0.1339
62,0.19222834706306458,0.0943,0.1384
63,0.18325501680374146,0.08506,0.1366
64,0.23145310580730438,0.0784,0.1253
65,0.25187715888023376,0.08492,0.1344
66,0.38947004079818726,0.07132,0.1257
67,0.12478290498256683,0.08458,0.1296
68,0.34237009286880493,0.08916,0.1469
69,0.2297608107328415,0.0731,0.1259
70,0.08960667997598648,0.08272,0.1328
71,0.17156201601028442,0.08698,0.1376
72,0.2893572449684143,0.07974,0.1281
73,0.27664560079574585,0.07808,0.1255
74,0.2261703461408615,0.10074,0.1515
75,0.155989870429039,0.0805,0.1332
76,0.11268248409032822,0.09592,0.1476
77,0.16248661279678345,0.0751,0.1272
78,0.2110995352268219,0.0761,0.1279
79,0.20084545016288757,0.09498,0.1438
80,0.3320674002170563,0.07308,0.1293
81,0.201708123087883,0.08276,0.1286
82,0.0749078169465065,0.0257,0.0856
83,0.09587354958057404,0.02036,0.083
84,0.11397995054721832,0.01722,0.0816
85,0.024899668991565704,0.01594,0.0818
86,0.02849113941192627,0.01478,0.0837
87,0.10288923978805542,0.01392,0.0799
88,0.08128439635038376,0.01226,0.0833
89,0.08891133964061737,0.01274,0.0798
90,0.043438129127025604,0.01126,0.0799
91,0.058296650648117065,0.01058,0.0806
92,0.10813792049884796,0.00986,0.0802
93,0.07719293981790543,0.01012,0.0795
94,0.02160007506608963,0.0098,0.0778
95,0.019313180819153786,0.0087,0.0784
96,0.09587238729000092,0.00804,0.0788
97,0.04358459636569023,0.0076,0.0796
98,0.05609959363937378,0.00702,0.0796
99,0.018985040485858917,0.0075,0.0781
100,0.022073453292250633,0.0061,0.0791
101,0.07059118151664734,0.00626,0.0789
102,0.023857608437538147,0.00618,0.0788
103,0.02544211968779564,0.00556,0.0799
