epoch,train_loss,train_err,test_err
0,2.1996967792510986,0.81572,0.8163
1,2.093761920928955,0.80612,0.7921
2,1.9751853942871094,0.77306,0.7633
3,2.045012950897217,0.75052,0.7373
4,1.8598188161849976,0.73238,0.7009
5,1.8476181030273438,0.6916,0.6746
6,1.8080400228500366,0.75544,0.7281
7,1.6618801355361938,0.66434,0.638
8,1.7525901794433594,0.69146,0.6596
9,1.7992618083953857,0.65624,0.6281
10,1.8696956634521484,0.66342,0.6403
11,1.6132452487945557,0.64368,0.6326
12,1.935338020324707,0.62742,0.6092
13,1.6256725788116455,0.64562,0.624
14,1.6495275497436523,0.6177,0.5894
15,1.531652569770813,0.64724,0.616
16,1.6296981573104858,0.59606,0.5686
17,1.5953458547592163,0.5915,0.5627
18,1.6444005966186523,0.62848,0.5937
19,1.596287488937378,0.59448,0.5644
20,1.4451076984405518,0.58028,0.5577
21,1.6166940927505493,0.5527,0.5358
22,1.4746615886688232,0.56442,0.5469
23,1.2472798824310303,0.57862,0.5524
24,1.4438283443450928,0.5693,0.5545
25,1.383418083190918,0.54686,0.5235
26,1.1856404542922974,0.48188,0.4702
27,1.3030636310577393,0.4851,0.4726
28,1.2859132289886475,0.48708,0.4626
29,1.3147227764129639,0.51758,0.4997
30,1.1608121395111084,0.4277,0.4149
31,1.2583478689193726,0.43584,0.4145
32,1.1088535785675049,0.5614,0.5227
33,0.7900722026824951,0.47144,0.4446
34,1.1703964471817017,0.42508,0.4086
35,1.0680241584777832,0.41678,0.4006
36,1.2199585437774658,0.39304,0.3874
37,1.1015406847000122,0.35798,0.3527
38,0.8854378461837769,0.46692,0.4656
39,0.9981806874275208,0.4348,0.4146
40,0.8868510127067566,0.41488,0.4169
41,0.9570798873901367,0.32978,0.3267
42,1.0130759477615356,0.43388,0.4154
43,1.048959493637085,0.3711,0.3525
44,1.0925213098526,0.45682,0.4257
45,0.9573560953140259,0.3752,0.3702
46,0.6829206347465515,0.37882,0.3705
47,0.8049192428588867,0.34802,0.347
48,0.796429455280304,0.35748,0.341
49,0.7620488405227661,0.43108,0.4243
50,0.8673068284988403,0.30886,0.3018
51,0.8066039085388184,0.30894,0.3166
52,0.7275640964508057,0.39216,0.3844
53,0.7322518229484558,0.33156,0.3205
54,0.7055200934410095,0.32796,0.3207
55,0.7538876533508301,0.30232,0.3063
56,0.7692756652832031,0.34696,0.3387
57,0.741873025894165,0.31772,0.3083
58,0.7206649780273438,0.2835,0.2906
59,0.7879641056060791,0.3069,0.3077
60,0.8042113184928894,0.30684,0.3079
61,0.6728202104568481,0.36726,0.3605
62,0.7049638032913208,0.46724,0.4567
63,0.6641532778739929,0.27926,0.2904
64,0.5910986065864563,0.32502,0.3106
65,0.8054912686347961,0.33884,0.3199
66,0.4567512571811676,0.36852,0.3792
67,0.6591548919677734,0.4617,0.4799
68,0.7024842500686646,0.27054,0.271
69,0.6393164992332458,0.2965,0.3091
70,0.9056447148323059,0.3103,0.3185
71,0.5380150079727173,0.28204,0.2935
72,0.5879907011985779,0.35574,0.3553
73,0.6919229030609131,0.28112,0.2786
74,0.6600651144981384,0.30324,0.3193
75,0.5427646636962891,0.26898,0.2831
76,0.6165483593940735,0.27676,0.2858
77,0.7144325971603394,0.37698,0.3827
78,0.699864387512207,0.32,0.3171
79,0.7479549646377563,0.25272,0.2686
80,0.6096788644790649,0.26002,0.2729
81,0.7794443964958191,0.2464,0.2531
82,0.571076512336731,0.15206,0.1727
83,0.3930613398551941,0.14466,0.1622
84,0.44061964750289917,0.14138,0.1647
85,0.7925806641578674,0.13952,0.1642
86,0.4549560546875,0.1358,0.1636
87,0.42676180601119995,0.13624,0.1603
88,0.37734389305114746,0.13388,0.1641
89,0.41776108741760254,0.1334,0.1639
