epoch,train_loss,train_err,test_err
90,1.7011873722076416,0.53908,0.5689
91,1.6621116399765015,0.53636,0.5751
92,1.6335690021514893,0.53964,0.5813
93,1.4745383262634277,0.53858,0.5769
94,1.5924053192138672,0.5374,0.5752
95,1.647129774093628,0.54164,0.5837
96,1.5970211029052734,0.53836,0.5658
97,1.4861042499542236,0.54102,0.5758
98,1.591360330581665,0.5408,0.5757
99,1.5288372039794922,0.53904,0.5737
100,1.5025184154510498,0.53772,0.5716
101,1.4633500576019287,0.53628,0.5714
102,1.5947872400283813,0.54006,0.5771
103,1.6148287057876587,0.54374,0.5839
104,1.6819055080413818,0.54122,0.5769
105,1.6433813571929932,0.54046,0.5787
106,1.582497000694275,0.53528,0.5744
107,1.628761649131775,0.53654,0.5761
108,1.4663218259811401,0.53816,0.5773
109,1.5729048252105713,0.53748,0.5768
110,1.5654922723770142,0.5353,0.5723
111,1.6109840869903564,0.5335,0.5699
112,1.563676357269287,0.53666,0.5736
113,1.6588741540908813,0.53548,0.5705
114,1.5029140710830688,0.5361,0.5718
115,1.446398138999939,0.53738,0.5775
116,1.5967353582382202,0.53882,0.571
117,1.6123676300048828,0.53588,0.5682
118,1.5024844408035278,0.53618,0.568
119,1.610645055770874,0.5346,0.5725
120,1.5683584213256836,0.53482,0.5705
121,1.5148414373397827,0.53896,0.5739
122,1.500308871269226,0.542,0.5694
123,1.4698636531829834,0.53276,0.5704
124,1.5548248291015625,0.53444,0.5703
125,1.6631256341934204,0.53138,0.5677
126,1.678157091140747,0.5339,0.5699
127,1.5532931089401245,0.53276,0.5703
128,1.410645604133606,0.53262,0.5699
129,1.4420692920684814,0.5329,0.5694
130,1.6805158853530884,0.53342,0.5709
131,1.4416148662567139,0.5328,0.5701
132,1.545621395111084,0.53424,0.568
133,1.582695722579956,0.53388,0.5699
134,1.6024452447891235,0.53382,0.5693
135,1.5195389986038208,0.53462,0.5694
136,1.5284777879714966,0.53406,0.5689
137,1.5943683385849,0.53188,0.5693
138,1.4789974689483643,0.53374,0.5702
139,1.617841124534607,0.5338,0.5681
140,1.4432594776153564,0.53462,0.5698
141,1.5180690288543701,0.53348,0.5706
142,1.4869762659072876,0.53422,0.5706
143,1.5156432390213013,0.53438,0.5697
144,1.5894500017166138,0.5335,0.5699
145,1.6002088785171509,0.53308,0.5701
146,1.6432749032974243,0.53324,0.5704
147,1.4156582355499268,0.53172,0.568
148,1.4466168880462646,0.53236,0.5709
149,1.6565755605697632,0.53376,0.57
150,1.3192646503448486,0.53452,0.5691
151,1.4677459001541138,0.53458,0.5716
152,1.6285076141357422,0.53384,0.5708
153,1.5054022073745728,0.53392,0.5697
154,1.4814369678497314,0.53538,0.5712
155,1.5463674068450928,0.53232,0.5694
156,1.4385349750518799,0.5332,0.5705
157,1.5963189601898193,0.53262,0.5719
158,1.5728437900543213,0.5345,0.5705
159,1.3923041820526123,0.5341,0.5686
160,1.8160696029663086,0.53106,0.5702
161,1.5366250276565552,0.53394,0.5701
162,1.5356193780899048,0.53428,0.5715
163,1.4800187349319458,0.53192,0.5703
