epoch,train_loss,train_err,test_err
126,0.004776397254317999,0.00168,0.078
127,0.0013572408352047205,0.00168,0.077
128,0.006650755647569895,0.00146,0.0776
129,0.043697528541088104,0.00132,0.0783
130,0.0027860209811478853,0.0013,0.0768
131,0.01537384558469057,0.00128,0.0764
132,0.0027336678467690945,0.0013,0.0775
133,0.009973464533686638,0.0012,0.0771
134,0.013304352760314941,0.0013,0.0777
135,0.005104425363242626,0.00098,0.0765
136,0.001701459288597107,0.00132,0.0775
137,0.008478143252432346,0.00116,0.0787
138,0.009273071773350239,0.00148,0.0784
139,0.016728876158595085,0.0011,0.0772
140,0.0025297694373875856,0.00088,0.0776
141,0.03059697151184082,0.00088,0.0783
142,0.010548464022576809,0.00114,0.0779
143,0.005125093273818493,0.00098,0.0768
144,0.018634822219610214,0.00104,0.0764
145,0.005355464294552803,0.00102,0.075
146,0.0018290358129888773,0.00094,0.0774
147,0.006267372518777847,0.00094,0.076
148,0.0037143980152904987,0.00102,0.0767
149,0.016932642087340355,0.0008,0.0765
150,0.003980952315032482,0.00106,0.0762
151,0.021421877667307854,0.0008,0.0768
152,0.0018350642640143633,0.00106,0.0769
153,0.003954085521399975,0.00078,0.0761
154,0.007745414040982723,0.00076,0.0758
155,0.007961450144648552,0.0008,0.077
156,0.007932007312774658,0.00082,0.0754
157,0.0026599604170769453,0.00114,0.0767
158,0.015085245482623577,0.00106,0.0768
159,0.008586963638663292,0.00082,0.0762
160,0.003466486930847168,0.0006,0.0769
161,0.006214985158294439,0.00062,0.0766
162,0.0023462041281163692,0.00082,0.0762
163,0.004332709591835737,0.00102,0.0764
